Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC
logicGates.Gate,2,Class,logicGates,Gate,,FRAMEWORK,FALSE,TRUE,,FALSE,FALSE,logicGates.Gate belongs to FRAMEWORK because it's the only feature in bounds.   logicGates.Gate; BttF says a method of a non-terminal class references it logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate; BttF says a static method of a framework class references it logicGates.Gate THEN it also has to belong to FRAMEWORK   ,,public abstract ,,FRAMEWORK,FRAMEWORK,null,131
logicGates.InputPort,2,Class,logicGates,InputPort,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.InputPort; BttF says a static method of a framework class references it logicGates.InputPort THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,41
logicGates.OutputPort,2,Class,logicGates,OutputPort,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.OutputPort; BttF says a static method of a framework class references it logicGates.OutputPort THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,33
logicGates.Not,2,Class,logicGates,Not,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Not; BttF says a static method of a framework class references it logicGates.Not THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,34
logicGates.And,2,Class,logicGates,And,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.And; BttF says a static method of a framework class references it logicGates.And THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,43
logicGates.Or,2,Class,logicGates,Or,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Or; BttF says a static method of a framework class references it logicGates.Or THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,39
logicGates.Wire,2,Class,logicGates,Wire,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Wire; BttF says a static method of a framework class references it logicGates.Wire THEN it also has to belong to FRAMEWORK   logicGates.Wire belongs to FRAMEWORK because it's the only feature in bounds.   ,,public ,,FRAMEWORK,FRAMEWORK,null,64
logicGates.Gate.resetDB(),4,Method,logicGates,Gate,resetDB(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.resetDB(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.resetDB(); BttF says it's a hook because it references declaration(s) classified in future features   logicGates.Gate.resetDB(); BttF says it's no longer a hook; called element(s) got reclassified   ,,public static ,resetDB(),FRAMEWORK,PLUGIN,null,8
logicGates.Gate.printDB(),4,Method,logicGates,Gate,printDB(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.printDB(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.printDB(); BttF says it's a hook because it references declaration(s) classified in future features   logicGates.Gate.printDB(); BttF says it's no longer a hook; called element(s) got reclassified   ,,public static ,printDB(),FRAMEWORK,PLUGIN,null,8
logicGates.Gate.verify(),4,Method,logicGates,Gate,verify(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.verify(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.verify(); BttF says it's a hook because it references declaration(s) classified in future features   logicGates.Gate.verify(); BttF says it's no longer a hook; called element(s) got reclassified   ,,public static ,verify(),FRAMEWORK,PLUGIN,null,9
logicGates.InputPort.setValue(Value v),4,Method,logicGates,InputPort,setValue(Value v),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,setValue(Value),FRAMEWORK,PLUGIN,null,3
logicGates.OutputPort.getValue(),4,Method,logicGates,OutputPort,getValue(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,getValue(),FRAMEWORK,PLUGIN,null,3
logicGates.Printable,2,Class,logicGates,Printable,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Printable belongs to FRAMEWORK because it's the only feature in bounds.   logicGates.Printable; BttF says a method of a non-terminal class references it logicGates.Printable THEN it also has to belong to FRAMEWORK   logicGates.Printable; BttF says a static method of a framework class references it logicGates.Printable THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,9
logicGates.Gate.name,3,Field,logicGates,Gate,name,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.name; BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.name; BttF says a method of a non-terminal class references it logicGates.Gate.name THEN it also has to belong to FRAMEWORK   logicGates.Gate.name; BttF says a static method of a framework class references it logicGates.Gate.name THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,1
logicGates.Wire.o,3,Field,logicGates,Wire,o,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,1
logicGates.Wire.getValue(),4,Method,logicGates,Wire,getValue(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,getValue(),FRAMEWORK,PLUGIN,null,3
logicGates.Gate.getValue(),4,Method,logicGates,Gate,getValue(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.getValue(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   ,,public abstract ,getValue(),FRAMEWORK,PLUGIN,null,1
logicGates.Wire.i,3,Field,logicGates,Wire,i,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,1
logicGates.Wire.Wire(OutputPin o; InputPin i),5,Constructor,logicGates,Wire,Wire(OutputPin o; InputPin i),PLUGIN,TRUE,TRUE,,TRUE,FALSE,logicGates.Wire.Wire(OutputPin o; InputPin i); BttF says since it calls fprivate logicGates.Wire.table THEN it also belongs to PLUGIN   , InputPin i) calls fprivate logicGates.Wire.table THEN it also belongs to PLUGIN   ,public ,Wire(OutputPin; InputPin),FRAMEWORK,PLUGIN,null,9
logicGates.Wire.table,3,Field,logicGates,Wire,table,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Wire.table; BttF says a static method of a framework class references it logicGates.Wire.table THEN it also has to belong to FRAMEWORK   ,,static ,,FRAMEWORK,PLUGIN,null,1
logicGates.Wire.Wire(InputPort o; Gate i; String name),5,Constructor,logicGates,Wire,Wire(InputPort o; Gate i; String name),PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,Wire(InputPort; Gate; String),FRAMEWORK,PLUGIN,null,3
logicGates.InputPort.getOutput(),4,Method,logicGates,InputPort,getOutput(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,getOutput(),FRAMEWORK,PLUGIN,null,3
logicGates.Gate.getInput(String name),4,Method,logicGates,Gate,getInput(String name),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.getInput(String name); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   ,,public ,getInput(String),FRAMEWORK,PLUGIN,null,7
logicGates.Wire.Wire(Gate from; String frompin; Gate to; String topin),5,Constructor,logicGates,Wire,Wire(Gate from; String frompin; Gate to; String topin),PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,Wire(Gate; String; Gate; String),FRAMEWORK,PLUGIN,null,3
logicGates.Gate.getOutput(String name),4,Method,logicGates,Gate,getOutput(String name),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.getOutput(String name); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   ,,public ,getOutput(String),FRAMEWORK,PLUGIN,null,7
logicGates.Wire.Wire(Gate from; Gate to; String topin),5,Constructor,logicGates,Wire,Wire(Gate from; Gate to; String topin),PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,Wire(Gate; Gate; String),FRAMEWORK,PLUGIN,null,3
logicGates.Wire.Wire(Gate from; OutputPort port),5,Constructor,logicGates,Wire,Wire(Gate from; OutputPort port),PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,Wire(Gate; OutputPort),FRAMEWORK,PLUGIN,null,3
logicGates.OutputPort.getInput(),4,Method,logicGates,OutputPort,getInput(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,getInput(),FRAMEWORK,PLUGIN,null,3
logicGates.Wire.print(String x),4,Method,logicGates,Wire,print(String x),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,print(String),FRAMEWORK,PLUGIN,null,3
logicGates.Printable.print(String ttype),4,Method,logicGates,Printable,print(String ttype),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Printable.print(String ttype); BttF says a method of a non-terminal class references it logicGates.Printable.print(String ttype) THEN it also has to belong to FRAMEWORK   logicGates.Printable.print(String ttype); BttF says a static method of a framework class references it logicGates.Printable.print(String ttype) THEN it also has to belong to FRAMEWORK   logicGates.Printable.print(String ttype) belongs to FRAMEWORK because it's the only feature in bounds.   ,,public abstract ,print(String),FRAMEWORK,FRAMEWORK,null,1
logicGates.Wire.resetTable(),4,Method,logicGates,Wire,resetTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Wire.resetTable(); BttF says since it calls fprivate logicGates.Wire.table THEN it also belongs to PLUGIN   logicGates.Wire.resetTable(); BttF says a static method of a framework class references it logicGates.Wire.resetTable() THEN it also has to belong to FRAMEWORK   ,,public static ,resetTable(),FRAMEWORK,PLUGIN,null,3
logicGates.Wire.getTable(),4,Method,logicGates,Wire,getTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Wire.getTable(); BttF says since it calls fprivate logicGates.Wire.table THEN it also belongs to PLUGIN   logicGates.Wire.getTable(); BttF says a static method of a framework class references it logicGates.Wire.getTable() THEN it also has to belong to FRAMEWORK   ,,public static ,getTable(),FRAMEWORK,PLUGIN,null,3
logicGates.Wire.isUsed(),4,Method,logicGates,Wire,isUsed(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Wire.isUsed(); BttF says a static method of a framework class references it logicGates.Wire.isUsed() THEN it also has to belong to FRAMEWORK   ,,public ,isUsed(),FRAMEWORK,PLUGIN,null,3
logicGates.Wire.verify(),4,Method,logicGates,Wire,verify(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Wire.verify(); BttF says since it calls fprivate logicGates.Wire.table THEN it also belongs to PLUGIN   logicGates.Wire.verify(); BttF says a static method of a framework class references it logicGates.Wire.verify() THEN it also has to belong to FRAMEWORK   ,,public static ,verify(),FRAMEWORK,PLUGIN,null,7
logicGates.Or.Or(String name),5,Constructor,logicGates,Or,Or(String name),PLUGIN,FALSE,TRUE,,TRUE,FALSE,logicGates.Or.Or(String name); BttF says since it calls fprivate logicGates.Or.table THEN it also belongs to PLUGIN   ,,public ,Or(String),FRAMEWORK,PLUGIN,null,12
logicGates.Gate.Gate(String name),5,Constructor,logicGates,Gate,Gate(String name),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.Gate(String name); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   ,,public ,Gate(String),FRAMEWORK,PLUGIN,null,5
logicGates.Or.getValue(),4,Method,logicGates,Or,getValue(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,getValue(),FRAMEWORK,PLUGIN,null,8
logicGates.Or.i1,3,Field,logicGates,Or,i1,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
logicGates.Or.i2,3,Field,logicGates,Or,i2,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
logicGates.Gate.inputs,3,Field,logicGates,Gate,inputs,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.inputs; BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.inputs; BttF says a method of a non-terminal class references it logicGates.Gate.inputs THEN it also has to belong to FRAMEWORK   ,,,,FRAMEWORK,FRAMEWORK,null,1
logicGates.Gate.outputs,3,Field,logicGates,Gate,outputs,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.outputs; BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.outputs; BttF says a method of a non-terminal class references it logicGates.Gate.outputs THEN it also has to belong to FRAMEWORK   ,,,,FRAMEWORK,FRAMEWORK,null,1
logicGates.Or.table,3,Field,logicGates,Or,table,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Or.table; BttF says a static method of a framework class references it logicGates.Or.table THEN it also has to belong to FRAMEWORK   ,,static ,,FRAMEWORK,PLUGIN,null,1
logicGates.Or.resetTable(),4,Method,logicGates,Or,resetTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Or.resetTable(); BttF says since it calls fprivate logicGates.Or.table THEN it also belongs to PLUGIN   logicGates.Or.resetTable(); BttF says a static method of a framework class references it logicGates.Or.resetTable() THEN it also has to belong to FRAMEWORK   ,,public static ,resetTable(),FRAMEWORK,PLUGIN,null,3
logicGates.Or.getTable(),4,Method,logicGates,Or,getTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Or.getTable(); BttF says since it calls fprivate logicGates.Or.table THEN it also belongs to PLUGIN   logicGates.Or.getTable(); BttF says a static method of a framework class references it logicGates.Or.getTable() THEN it also has to belong to FRAMEWORK   ,,public static ,getTable(),FRAMEWORK,PLUGIN,null,3
logicGates.And.And(String name),5,Constructor,logicGates,And,And(String name),PLUGIN,FALSE,TRUE,,TRUE,FALSE,logicGates.And.And(String name); BttF says since it calls fprivate logicGates.And.table THEN it also belongs to PLUGIN   ,,public ,And(String),FRAMEWORK,PLUGIN,null,13
logicGates.And.getValue(),4,Method,logicGates,And,getValue(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,getValue(),FRAMEWORK,PLUGIN,null,8
logicGates.And.i1,3,Field,logicGates,And,i1,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
logicGates.And.i2,3,Field,logicGates,And,i2,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
logicGates.And.o,3,Field,logicGates,And,o,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
logicGates.And.table,3,Field,logicGates,And,table,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.And.table; BttF says a static method of a framework class references it logicGates.And.table THEN it also has to belong to FRAMEWORK   ,,static ,,FRAMEWORK,PLUGIN,null,1
logicGates.And.resetTable(),4,Method,logicGates,And,resetTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.And.resetTable(); BttF says since it calls fprivate logicGates.And.table THEN it also belongs to PLUGIN   logicGates.And.resetTable(); BttF says a static method of a framework class references it logicGates.And.resetTable() THEN it also has to belong to FRAMEWORK   ,,public static ,resetTable(),FRAMEWORK,PLUGIN,null,3
logicGates.And.getTable(),4,Method,logicGates,And,getTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.And.getTable(); BttF says since it calls fprivate logicGates.And.table THEN it also belongs to PLUGIN   logicGates.And.getTable(); BttF says a static method of a framework class references it logicGates.And.getTable() THEN it also has to belong to FRAMEWORK   ,,public static ,getTable(),FRAMEWORK,PLUGIN,null,3
logicGates.Gate.print(String gateType),4,Method,logicGates,Gate,print(String gateType),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.print(String gateType); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   ,,public ,print(String),FRAMEWORK,PLUGIN,null,15
logicGates.Not.resetTable(),4,Method,logicGates,Not,resetTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Not.resetTable(); BttF says since it calls fprivate logicGates.Not.table THEN it also belongs to PLUGIN   logicGates.Not.resetTable(); BttF says a static method of a framework class references it logicGates.Not.resetTable() THEN it also has to belong to FRAMEWORK   ,,public static ,resetTable(),FRAMEWORK,PLUGIN,null,3
logicGates.InputPort.resetTable(),4,Method,logicGates,InputPort,resetTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.InputPort.resetTable(); BttF says since it calls fprivate logicGates.InputPort.table THEN it also belongs to PLUGIN   logicGates.InputPort.resetTable(); BttF says a static method of a framework class references it logicGates.InputPort.resetTable() THEN it also has to belong to FRAMEWORK   ,,public static ,resetTable(),FRAMEWORK,PLUGIN,null,3
logicGates.OutputPort.resetTable(),4,Method,logicGates,OutputPort,resetTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.OutputPort.resetTable(); BttF says since it calls fprivate logicGates.OutputPort.table THEN it also belongs to PLUGIN   logicGates.OutputPort.resetTable(); BttF says a static method of a framework class references it logicGates.OutputPort.resetTable() THEN it also has to belong to FRAMEWORK   ,,public static ,resetTable(),FRAMEWORK,PLUGIN,null,3
logicGates.Not.getTable(),4,Method,logicGates,Not,getTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Not.getTable(); BttF says since it calls fprivate logicGates.Not.table THEN it also belongs to PLUGIN   logicGates.Not.getTable(); BttF says a static method of a framework class references it logicGates.Not.getTable() THEN it also has to belong to FRAMEWORK   ,,public static ,getTable(),FRAMEWORK,PLUGIN,null,3
logicGates.InputPort.getTable(),4,Method,logicGates,InputPort,getTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.InputPort.getTable(); BttF says since it calls fprivate logicGates.InputPort.table THEN it also belongs to PLUGIN   logicGates.InputPort.getTable(); BttF says a static method of a framework class references it logicGates.InputPort.getTable() THEN it also has to belong to FRAMEWORK   ,,public static ,getTable(),FRAMEWORK,PLUGIN,null,3
logicGates.OutputPort.getTable(),4,Method,logicGates,OutputPort,getTable(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.OutputPort.getTable(); BttF says since it calls fprivate logicGates.OutputPort.table THEN it also belongs to PLUGIN   logicGates.OutputPort.getTable(); BttF says a static method of a framework class references it logicGates.OutputPort.getTable() THEN it also has to belong to FRAMEWORK   ,,public static ,getTable(),FRAMEWORK,PLUGIN,null,3
logicGates.Gate.printTable(String ttype; LinkedList<G> t),4,Method,logicGates,Gate,printTable(String ttype; LinkedList<G> t),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.printTable(String ttype; LinkedList<G> t); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   ,,public static ,printTable(String; LinkedList<G>),FRAMEWORK,PLUGIN,null,5
logicGates.Gate.extra(),4,Method,logicGates,Gate,extra(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.extra(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.extra(); BttF says a static method of a framework class references it logicGates.Gate.extra() THEN it also has to belong to FRAMEWORK   ,,public ,extra(),FRAMEWORK,FRAMEWORK,null,3
logicGates.Gate.allInputsUsed(),4,Method,logicGates,Gate,allInputsUsed(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.allInputsUsed(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.allInputsUsed(); BttF says a static method of a framework class references it logicGates.Gate.allInputsUsed() THEN it also has to belong to FRAMEWORK   ,,public ,allInputsUsed(),FRAMEWORK,FRAMEWORK,null,11
logicGates.Gate.allOutputsUsed(),4,Method,logicGates,Gate,allOutputsUsed(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.allOutputsUsed(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.allOutputsUsed(); BttF says a static method of a framework class references it logicGates.Gate.allOutputsUsed() THEN it also has to belong to FRAMEWORK   ,,public ,allOutputsUsed(),FRAMEWORK,FRAMEWORK,null,11
logicGates.Gate.verify(String label; LinkedList<G> table),4,Method,logicGates,Gate,verify(String label; LinkedList<G> table),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.verify(String label; LinkedList<G> table); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   ,,public static ,verify(String; LinkedList<G>),FRAMEWORK,PLUGIN,null,18
logicGates.OutputPort.OutputPort(String name),5,Constructor,logicGates,OutputPort,OutputPort(String name),PLUGIN,FALSE,TRUE,,TRUE,FALSE,logicGates.OutputPort.OutputPort(String name); BttF says since it calls fprivate logicGates.OutputPort.table THEN it also belongs to PLUGIN   ,,public ,OutputPort(String),FRAMEWORK,PLUGIN,null,8
logicGates.OutputPort.table,3,Field,logicGates,OutputPort,table,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.OutputPort.table; BttF says a static method of a framework class references it logicGates.OutputPort.table THEN it also has to belong to FRAMEWORK   ,,static ,,FRAMEWORK,PLUGIN,null,1
logicGates.Not.Not(String name),5,Constructor,logicGates,Not,Not(String name),PLUGIN,FALSE,TRUE,,TRUE,FALSE,logicGates.Not.Not(String name); BttF says since it calls fprivate logicGates.Not.table THEN it also belongs to PLUGIN   ,,public ,Not(String),FRAMEWORK,PLUGIN,null,10
logicGates.Not.getValue(),4,Method,logicGates,Not,getValue(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,getValue(),FRAMEWORK,PLUGIN,null,4
logicGates.Not.i1,3,Field,logicGates,Not,i1,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
logicGates.Not.table,3,Field,logicGates,Not,table,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Not.table; BttF says a static method of a framework class references it logicGates.Not.table THEN it also has to belong to FRAMEWORK   ,,static ,,FRAMEWORK,PLUGIN,null,1
logicGates.InputPort.InputPort(String name),5,Constructor,logicGates,InputPort,InputPort(String name),PLUGIN,FALSE,TRUE,,TRUE,FALSE,logicGates.InputPort.InputPort(String name); BttF says since it calls fprivate logicGates.InputPort.table THEN it also belongs to PLUGIN   ,,public ,InputPort(String),FRAMEWORK,PLUGIN,null,8
logicGates.InputPort.getValue(),4,Method,logicGates,InputPort,getValue(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,getValue(),FRAMEWORK,PLUGIN,null,5
logicGates.InputPort.table,3,Field,logicGates,InputPort,table,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.InputPort.table; BttF says a static method of a framework class references it logicGates.InputPort.table THEN it also has to belong to FRAMEWORK   ,,static ,,FRAMEWORK,PLUGIN,null,1
logicGates.InputPort.value,3,Field,logicGates,InputPort,value,PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
